Date,Adj Close,Close,High,Low,Open,Volume,Ticker,Company,Sector,Market Cap,Forward PE,EPS,Revenue,Net Income,Profit Margin,Return on Equity
2020-04-15,68.66239929199219,71.10749816894531,71.5824966430664,70.15750122070312,70.5999984741211,131154400,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-04-16,69.20796966552734,71.67250061035156,72.05000305175781,70.5875015258789,71.84500122070312,157125200,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-04-17,68.26892852783203,70.69999694824219,71.73750305175781,69.21499633789062,71.17250061035156,215250000,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-04-20,66.85186004638672,69.23249816894531,70.41999816894531,69.2125015258789,69.48750305175781,130015200,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-04-21,64.78545379638672,67.09249877929688,69.3125,66.35749816894531,69.06999969482422,180991600,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-04-22,66.65150451660156,69.0250015258789,69.4749984741211,68.05000305175781,68.40249633789062,116862400,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-04-23,66.3931884765625,68.75749969482422,70.4375,68.71749877929688,68.96749877929688,124814400,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-04-24,68.30996704101562,70.74250030517578,70.75250244140625,69.25,69.30000305175781,126161200,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-04-27,68.35823822021484,70.7925033569336,71.13500213623047,69.98750305175781,70.44999694824219,117087600,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-04-28,67.25019073486328,69.6449966430664,71.4574966430664,69.55000305175781,71.2699966430664,112004800,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-04-29,69.45903778076172,71.93250274658203,72.4175033569336,70.97250366210938,71.18250274658203,137280800,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-04-30,70.92434692382812,73.44999694824219,73.63249969482422,72.0875015258789,72.48999786376953,183064000,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-05-01,69.78250885009766,72.26750183105469,74.75,71.4625015258789,71.5625,240616800,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-05-04,70.7698745727539,73.29000091552734,73.42250061035156,71.58000183105469,72.2925033569336,133568000,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
